Neighborhood,Year,Predicted Home Value
Speer,2029,588502.55
Speer,2030,603586.1
Speer,2031,618669.65
Speer,2032,633753.2
Speer,2033,648836.75
Speer,2034,663920.3
Speer,2035,679003.85
Sunnyside,2024,615175.31
Sunnyside,2025,637416.44
Sunnyside,2026,659657.57
Sunnyside,2027,681898.71
Sunnyside,2028,704139.84
Sunnyside,2029,726380.97
Sunnyside,2030,748622.11
Sunnyside,2031,770863.24
Sunnyside,2032,793104.38
Sunnyside,2033,815345.51
Sunnyside,2034,837586.64
Sunnyside,2035,859827.78
Union Station,2024,663850.1
Union Station,2025,677424.11
Union Station,2026,690998.13
Union Station,2027,704572.14
Union Station,2028,718146.16
Union Station,2029,731720.17
Union Station,2030,745294.19
Union Station,2031,758868.21
Union Station,2032,772442.22
Union Station,2033,786016.24
Union Station,2034,799590.25
Union Station,2035,813164.27
University,2024,625797.75
University,2025,645964.85
University,2026,666131.95
University,2027,686299.05
University,2028,706466.14
University,2029,726633.24
University,2030,746800.34
University,2031,766967.44
University,2032,787134.54
University,2033,807301.64
University,2034,827468.73
University,2035,847635.83
University Hills,2024,521934.71
University Hills,2025,538186.38
University Hills,2026,554438.05
University Hills,2027,570689.73
University Hills,2028,586941.4
University Hills,2029,603193.07
University Hills,2030,619444.74
University Hills,2031,635696.41
University Hills,2032,651948.08
University Hills,2033,668199.75
University Hills,2034,684451.42
University Hills,2035,700703.09
University Park,2024,920521.37
University Park,2025,946121.17
University Park,2026,971720.98
University Park,2027,997320.78
University Park,2028,1022920.58
University Park,2029,1048520.38
University Park,2030,1074120.18
University Park,2031,1099719.99
University Park,2032,1125319.79
University Park,2033,1150919.59
University Park,2034,1176519.39
University Park,2035,1202119.2
Valverde,2024,356324.22
Valverde,2025,369140.7
Valverde,2026,381957.18
Valverde,2027,394773.66
Valverde,2028,407590.14
Valverde,2029,420406.62
Valverde,2030,433223.1
Valverde,2031,446039.58
Valverde,2032,458856.06
Valverde,2033,471672.54
Valverde,2034,484489.02
Valverde,2035,497305.5
Villa Park,2024,380264.17
