,Neighborhood,Date,Price,Year,Month,TimeIndex,Month_sin,Month_cos
6196,Washington Park West,2006-10-31,398956.2173247461,2006,10,82,-0.8660254037844386,0.5000000000000001
6197,Washington Park,2006-10-31,521214.0802831729,2006,10,82,-0.8660254037844386,0.5000000000000001
6198,North Capitol Hill,2006-10-31,298190.3788850901,2006,10,82,-0.8660254037844386,0.5000000000000001
6199,University Hills,2006-10-31,250152.88424591467,2006,10,82,-0.8660254037844386,0.5000000000000001
6200,Cherry Creek,2006-10-31,627895.5199408628,2006,10,82,-0.8660254037844386,0.5000000000000001
6201,Elyria Swansea,2006-10-31,152283.54221522532,2006,10,82,-0.8660254037844386,0.5000000000000001
6202,Platt Park,2006-10-31,358766.56928421743,2006,10,82,-0.8660254037844386,0.5000000000000001
6203,Lincoln Park,2006-10-31,197426.187497608,2006,10,82,-0.8660254037844386,0.5000000000000001
6204,Baker,2006-10-31,243548.20691855077,2006,10,82,-0.8660254037844386,0.5000000000000001
6205,Montclair,2006-10-31,320012.2926694523,2006,10,82,-0.8660254037844386,0.5000000000000001
6206,Southmoor Park,2006-10-31,336887.50054864906,2006,10,82,-0.8660254037844386,0.5000000000000001
6207,Goldsmith,2006-10-31,201343.11439344895,2006,10,82,-0.8660254037844386,0.5000000000000001
6208,Barnum,2006-10-31,146003.153980626,2006,10,82,-0.8660254037844386,0.5000000000000001
6209,City Park West,2006-10-31,312506.0161098325,2006,10,82,-0.8660254037844386,0.5000000000000001
6210,Barnum West,2006-10-31,137251.3756875371,2006,10,82,-0.8660254037844386,0.5000000000000001
6211,Whittier,2006-10-31,268854.40318260685,2006,10,82,-0.8660254037844386,0.5000000000000001
6212,Regis,2006-10-31,212963.67905070417,2006,10,82,-0.8660254037844386,0.5000000000000001
6213,Central Business District,2006-10-31,289752.5047583378,2006,10,82,-0.8660254037844386,0.5000000000000001
6214,Cole,2006-10-31,208794.47291517415,2006,10,82,-0.8660254037844386,0.5000000000000001
6215,Clayton,2006-10-31,182741.82096061573,2006,10,82,-0.8660254037844386,0.5000000000000001
6216,Belcaro,2006-10-31,642743.6091160914,2006,10,82,-0.8660254037844386,0.5000000000000001
6217,Valverde,2006-10-31,137982.15248242617,2006,10,82,-0.8660254037844386,0.5000000000000001
6218,Cory - Merrill,2006-10-31,454812.9501807878,2006,10,82,-0.8660254037844386,0.5000000000000001
6219,Globeville,2006-10-31,91880.25030224088,2006,10,82,-0.8660254037844386,0.5000000000000001
6220,Indian Creek,2006-10-31,202734.05470384075,2006,10,82,-0.8660254037844386,0.5000000000000001
6221,Jefferson Park,2006-10-31,238444.8447272588,2006,10,82,-0.8660254037844386,0.5000000000000001
6222,City Park,2006-10-31,354669.8992282077,2006,10,82,-0.8660254037844386,0.5000000000000001
6223,Chaffee Park,2006-10-31,142262.14261799626,2006,10,82,-0.8660254037844386,0.5000000000000001
6224,Skyland,2006-10-31,211100.40648875837,2006,10,82,-0.8660254037844386,0.5000000000000001
6225,Overland,2006-10-31,197092.43005154515,2006,10,82,-0.8660254037844386,0.5000000000000001
6226,Wellshire,2006-10-31,472747.9220016788,2006,10,82,-0.8660254037844386,0.5000000000000001
6227,Country Club,2006-10-31,754622.6785935038,2006,10,82,-0.8660254037844386,0.5000000000000001
6228,Civic Center,2006-10-31,392448.262376976,2006,10,82,-0.8660254037844386,0.5000000000000001
6229,Rosedale,2006-10-31,318954.0021601375,2006,10,82,-0.8660254037844386,0.5000000000000001
6232,Gateway - Green Valley Ranch,2006-11-30,214401.30975462167,2006,11,83,-0.5000000000000004,0.8660254037844384
6233,Montbello,2006-11-30,166339.2336849315,2006,11,83,-0.5000000000000004,0.8660254037844384
6235,Hampden,2006-11-30,227522.61944535945,2006,11,83,-0.5000000000000004,0.8660254037844384
6236,Five Points,2006-11-30,298710.65267871664,2006,11,83,-0.5000000000000004,0.8660254037844384
6237,Westwood,2006-11-30,125584.38591130188,2006,11,83,-0.5000000000000004,0.8660254037844384
6238,Hampden South,2006-11-30,248451.61005836827,2006,11,83,-0.5000000000000004,0.8660254037844384
6239,Capitol Hill,2006-11-30,181688.9137562384,2006,11,83,-0.5000000000000004,0.8660254037844384
6240,Virginia Village,2006-11-30,247403.6168469245,2006,11,83,-0.5000000000000004,0.8660254037844384
6241,Washington Virginia Vale,2006-11-30,191759.574817874,2006,11,83,-0.5000000000000004,0.8660254037844384
6242,Windsor,2006-11-30,93509.18036981746,2006,11,83,-0.5000000000000004,0.8660254037844384
6243,Mar Lee,2006-11-30,166789.36902298697,2006,11,83,-0.5000000000000004,0.8660254037844384
6244,Harvey Park,2006-11-30,176418.95477216275,2006,11,83,-0.5000000000000004,0.8660254037844384
6245,Speer,2006-11-30,258844.0585944218,2006,11,83,-0.5000000000000004,0.8660254037844384
6246,North Park Hill,2006-11-30,273080.4467982646,2006,11,83,-0.5000000000000004,0.8660254037844384
6247,Highland,2006-11-30,287526.3111214026,2006,11,83,-0.5000000000000004,0.8660254037844384
6248,Congress Park,2006-11-30,360767.7986536948,2006,11,83,-0.5000000000000004,0.8660254037844384
6249,East Colfax,2006-11-30,161916.32163839412,2006,11,83,-0.5000000000000004,0.8660254037844384
6250,Lowry Field,2006-11-30,488461.4986658981,2006,11,83,-0.5000000000000004,0.8660254037844384
6251,West Colfax,2006-11-30,211111.9669607455,2006,11,83,-0.5000000000000004,0.8660254037844384
6252,Sunnyside,2006-11-30,222926.0046719912,2006,11,83,-0.5000000000000004,0.8660254037844384
6253,Ruby Hill,2006-11-30,149733.42884344832,2006,11,83,-0.5000000000000004,0.8660254037844384
6254,University,2006-11-30,286298.04857748933,2006,11,83,-0.5000000000000004,0.8660254037844384
6256,West Highland,2006-11-30,322058.0834713192,2006,11,83,-0.5000000000000004,0.8660254037844384
6257,South Park Hill,2006-11-30,422676.4632549126,2006,11,83,-0.5000000000000004,0.8660254037844384
6258,Berkeley,2006-11-30,287338.5429821479,2006,11,83,-0.5000000000000004,0.8660254037844384
6259,Northeast Park Hill,2006-11-30,175781.6097223974,2006,11,83,-0.5000000000000004,0.8660254037844384
6260,Harvey Park South,2006-11-30,214468.3902094155,2006,11,83,-0.5000000000000004,0.8660254037844384
6261,Cheesman Park,2006-11-30,223168.3011104881,2006,11,83,-0.5000000000000004,0.8660254037844384
6262,Athmar Park,2006-11-30,173159.42709904918,2006,11,83,-0.5000000000000004,0.8660254037844384
6263,Villa Park,2006-11-30,131742.51421596078,2006,11,83,-0.5000000000000004,0.8660254037844384
6264,Fort Logan,2006-11-30,239103.03255313935,2006,11,83,-0.5000000000000004,0.8660254037844384
6265,Hale,2006-11-30,274990.76248179434,2006,11,83,-0.5000000000000004,0.8660254037844384
6266,Union Station,2006-11-30,451192.9677277476,2006,11,83,-0.5000000000000004,0.8660254037844384
6267,College View - South Platte,2006-11-30,153632.5146607539,2006,11,83,-0.5000000000000004,0.8660254037844384
6268,Bear Valley,2006-11-30,218692.9273926903,2006,11,83,-0.5000000000000004,0.8660254037844384
6269,Sloan Lake,2006-11-30,302134.36739845853,2006,11,83,-0.5000000000000004,0.8660254037844384
6270,University Park,2006-11-30,531156.885397134,2006,11,83,-0.5000000000000004,0.8660254037844384
6271,Hilltop,2006-11-30,657337.0089773635,2006,11,83,-0.5000000000000004,0.8660254037844384
6272,Washington Park West,2006-11-30,399521.4667545192,2006,11,83,-0.5000000000000004,0.8660254037844384
6273,Washington Park,2006-11-30,522355.8111471454,2006,11,83,-0.5000000000000004,0.8660254037844384
6274,North Capitol Hill,2006-11-30,297875.18117800244,2006,11,83,-0.5000000000000004,0.8660254037844384
6275,University Hills,2006-11-30,250098.82576686,2006,11,83,-0.5000000000000004,0.8660254037844384
6276,Cherry Creek,2006-11-30,628565.4125813114,2006,11,83,-0.5000000000000004,0.8660254037844384
6277,Elyria Swansea,2006-11-30,150381.33310697228,2006,11,83,-0.5000000000000004,0.8660254037844384
6278,Platt Park,2006-11-30,359322.8080943311,2006,11,83,-0.5000000000000004,0.8660254037844384
6279,Lincoln Park,2006-11-30,197886.7968779366,2006,11,83,-0.5000000000000004,0.8660254037844384
6280,Baker,2006-11-30,243682.04854218024,2006,11,83,-0.5000000000000004,0.8660254037844384
6281,Montclair,2006-11-30,319586.320910068,2006,11,83,-0.5000000000000004,0.8660254037844384
6282,Southmoor Park,2006-11-30,337345.16984939465,2006,11,83,-0.5000000000000004,0.8660254037844384
6283,Goldsmith,2006-11-30,200693.9492961176,2006,11,83,-0.5000000000000004,0.8660254037844384
6284,Barnum,2006-11-30,145487.23326220975,2006,11,83,-0.5000000000000004,0.8660254037844384
6285,City Park West,2006-11-30,311965.1958938092,2006,11,83,-0.5000000000000004,0.8660254037844384
6286,Barnum West,2006-11-30,137056.57923110327,2006,11,83,-0.5000000000000004,0.8660254037844384
6287,Whittier,2006-11-30,268501.12193682865,2006,11,83,-0.5000000000000004,0.8660254037844384
6288,Regis,2006-11-30,213310.199144645,2006,11,83,-0.5000000000000004,0.8660254037844384
6289,Central Business District,2006-11-30,290845.6626244308,2006,11,83,-0.5000000000000004,0.8660254037844384
6290,Cole,2006-11-30,207528.6083459477,2006,11,83,-0.5000000000000004,0.8660254037844384
6291,Clayton,2006-11-30,181992.09270199537,2006,11,83,-0.5000000000000004,0.8660254037844384
6292,Belcaro,2006-11-30,643840.8582626485,2006,11,83,-0.5000000000000004,0.8660254037844384
6293,Valverde,2006-11-30,137304.32110859486,2006,11,83,-0.5000000000000004,0.8660254037844384
6294,Cory - Merrill,2006-11-30,455918.1324686794,2006,11,83,-0.5000000000000004,0.8660254037844384
6295,Globeville,2006-11-30,90761.81783854736,2006,11,83,-0.5000000000000004,0.8660254037844384
6296,Indian Creek,2006-11-30,201802.68751907337,2006,11,83,-0.5000000000000004,0.8660254037844384
6297,Jefferson Park,2006-11-30,238898.16038546344,2006,11,83,-0.5000000000000004,0.8660254037844384
6298,City Park,2006-11-30,355307.31202464475,2006,11,83,-0.5000000000000004,0.8660254037844384
6299,Chaffee Park,2006-11-30,142364.47843068253,2006,11,83,-0.5000000000000004,0.8660254037844384
6300,Skyland,2006-11-30,211373.4355322112,2006,11,83,-0.5000000000000004,0.8660254037844384
6301,Overland,2006-11-30,197196.46444538803,2006,11,83,-0.5000000000000004,0.8660254037844384
6302,Wellshire,2006-11-30,471026.0369346128,2006,11,83,-0.5000000000000004,0.8660254037844384
6303,Country Club,2006-11-30,755354.9294186408,2006,11,83,-0.5000000000000004,0.8660254037844384
6304,Civic Center,2006-11-30,392897.0076110311,2006,11,83,-0.5000000000000004,0.8660254037844384
6305,Rosedale,2006-11-30,319635.8307564527,2006,11,83,-0.5000000000000004,0.8660254037844384
6308,Gateway - Green Valley Ranch,2006-12-31,213813.96624482647,2006,12,84,-2.4492935982947064e-16,1.0
6309,Montbello,2006-12-31,165678.42283715532,2006,12,84,-2.4492935982947064e-16,1.0
6311,Hampden,2006-12-31,226763.89551970657,2006,12,84,-2.4492935982947064e-16,1.0
6312,Five Points,2006-12-31,298823.5675660887,2006,12,84,-2.4492935982947064e-16,1.0
6313,Westwood,2006-12-31,125253.73382531712,2006,12,84,-2.4492935982947064e-16,1.0
6314,Hampden South,2006-12-31,248043.5330635176,2006,12,84,-2.4492935982947064e-16,1.0
6315,Capitol Hill,2006-12-31,181234.78656461684,2006,12,84,-2.4492935982947064e-16,1.0
6316,Virginia Village,2006-12-31,246822.56811536688,2006,12,84,-2.4492935982947064e-16,1.0
6317,Washington Virginia Vale,2006-12-31,191023.1262713998,2006,12,84,-2.4492935982947064e-16,1.0
6318,Windsor,2006-12-31,93294.90940425976,2006,12,84,-2.4492935982947064e-16,1.0
6319,Mar Lee,2006-12-31,166126.2817526497,2006,12,84,-2.4492935982947064e-16,1.0
6320,Harvey Park,2006-12-31,175655.881605002,2006,12,84,-2.4492935982947064e-16,1.0
6321,Speer,2006-12-31,258200.67560804775,2006,12,84,-2.4492935982947064e-16,1.0
6322,North Park Hill,2006-12-31,273860.81365683855,2006,12,84,-2.4492935982947064e-16,1.0
6323,Highland,2006-12-31,288288.0241912703,2006,12,84,-2.4492935982947064e-16,1.0
6324,Congress Park,2006-12-31,360768.1312728776,2006,12,84,-2.4492935982947064e-16,1.0
