Year,Neighborhood,Prophet Forecasted Home Value,YoY_Growth
2032,City Park West,853386.48,2.73
2032,Civic Center,673695.8,1.13
2032,Clayton,690089.1,3.13
2032,Cole,794590.32,3.33
2032,College View - South Platte,630867.85,3.85
2032,Congress Park,1166438.86,3.47
2032,Cory - Merrill,1315753.37,3.67
2032,Country Club,2481256.88,4.11
2032,Denver International Airport,522752.95,3.05
2032,East Colfax,618478.69,3.42
2032,Elyria Swansea,542111.77,3.66
2032,Five Points,821893.22,2.78
2032,Fort Logan,857666.75,3.94
2032,Gateway - Green Valley Ranch,751254.2,4.07
2032,Globeville,553561.76,3.4
2032,Goldsmith,705017.75,3.55
2032,Hale,921120.22,3.42
2032,Hampden,771925.98,3.73
2032,Hampden South,740036.32,3.48
2032,Harvey Park,738059.66,3.89
2032,Harvey Park South,813003.2,3.82
2032,Highland,1075530.68,3.53
2032,Hilltop,2454829.91,4.7
2032,Indian Creek,565647.9,3.5
2032,Jefferson Park,997440.76,3.68
2032,Lincoln Park,598750.81,2.69
2032,Lowry Field,1158355.86,3.4
2032,Mar Lee,653195.81,3.82
2032,Montbello,665188.0,4.01
2032,Montclair,1014040.26,3.63
2032,North Capitol Hill,623434.84,2.18
2032,North Park Hill,986083.97,3.61
2032,Northeast Park Hill,686648.43,3.38
2032,Overland,756043.02,3.57
2032,Platt Park,1214026.01,3.61
2032,Regis,878947.5,3.82
2032,Rosedale,1016200.62,3.59
2032,Ruby Hill,655225.09,3.72
2032,Skyland,857316.61,3.38
2032,Sloan Lake,1217883.66,3.81
2032,South Park Hill,1386400.14,3.81
2032,Southmoor Park,1058786.36,3.83
2032,Speer,723270.16,2.79
2032,Sunnyside,1002374.06,3.83
2032,Union Station,776596.35,1.33
2032,University,978305.73,3.49
2032,University Hills,852850.16,3.73
2032,University Park,1578274.34,4.01
2032,Valverde,597786.73,3.61
2032,Villa Park,642982.66,3.74
2032,Virginia Village,915782.05,3.71
2032,Washington Park,1832659.2,4.13
2032,Washington Park West,1248876.62,3.55
2032,Washington Virginia Vale,709755.44,3.68
2032,Wellshire,1766521.06,4.47
2032,West Colfax,1004534.01,3.62
2032,West Highland,1179868.28,3.71
2032,Westwood,563304.15,3.74
2032,Whittier,970117.91,3.4
2032,Windsor,361825.84,3.49
2033,Athmar Park,697797.53,3.68
2033,Auraria,656629.64,-2.67
2033,Baker,834195.95,2.87
2033,Barnum,638887.23,3.76
2033,Barnum West,666434.26,3.85
2033,Bear Valley,838510.76,3.89
2033,Belcaro,2265264.94,4.18
2033,Berkeley,1166711.51,3.72
2033,Berkley,512989.02,0.49
2033,Capitol Hill,440399.97,2.22
2033,Central Business District,475837.89,1.03
2033,Central Park,1186350.86,3.43
2033,Chaffee Park,732972.16,3.75
2033,Cheesman Park,549027.28,2.22
2033,Cherry Creek,1672012.03,3.42
2033,City Park,1053964.24,3.07
2033,City Park West,877398.01,2.81
2033,Civic Center,681701.01,1.19
2033,Clayton,711747.3,3.14
2033,Cole,821118.79,3.34
2033,College View - South Platte,655364.03,3.88
2033,Congress Park,1207292.55,3.5
2033,Cory - Merrill,1364158.25,3.68
2033,Country Club,2582322.01,4.07
2033,Denver International Airport,538493.58,3.01
2033,East Colfax,639833.73,3.45
2033,Elyria Swansea,562351.56,3.73
2033,Five Points,845311.13,2.85
2033,Fort Logan,891301.49,3.92
2033,Gateway - Green Valley Ranch,781491.79,4.02
2033,Globeville,572527.58,3.43
2033,Goldsmith,730058.14,3.55
2033,Hale,952936.42,3.45
2033,Hampden,800651.89,3.72
